latent_1,latent_2,latent_3
-0.20331082,1.9169227,0.39780325
-0.47631654,1.6223655,0.7898452
-1.7794329,1.0469557,0.68696624
0.122228056,2.857359,0.79662085
-3.4337807,-0.34685606,1.6780401
-3.0321116,0.20313364,1.9411479
-3.390192,1.7320452,4.840297
-2.9001317,1.8303932,4.624307
-2.8238401,1.8572955,4.4836197
-0.8437894,1.497414,-0.9101884
0.40850416,1.641508,-0.35097665
0.47801486,1.5459963,-0.26923496
0.01357976,2.0684285,0.57264507
0.04174486,1.9882022,0.65841645
-3.3134313,1.6856003,3.693765
-0.51186377,1.1557716,1.502762
-1.0085444,-0.29060298,2.3565793
-0.32960746,-0.3712188,1.4955467
-0.025714245,-0.3974805,1.4045715
-0.09092733,-0.4122811,1.459095
0.15880528,-0.35188466,1.2970489
-0.16907808,0.729142,0.6728577
0.18937364,1.2787094,0.17788053
0.315644,0.5895737,0.16442989
0.6617646,0.9888279,-0.18748042
0.6438454,0.9768213,-0.13955158
-0.21225172,0.38758487,0.117796585
0.096274644,0.7908099,1.0014776
-0.19853267,0.6689746,1.0737332
0.07626572,1.1077403,-0.7362694
0.12305644,1.193605,-0.6722939
-1.1755953,0.40797037,-0.38196927
0.39510936,0.6616924,0.5573629
0.068964675,0.31010658,0.27838698
0.7822303,0.16453141,1.4865273
-0.56728727,0.31530613,2.0566435
-0.62926954,0.21119016,2.080633
-0.6346287,0.17377597,2.0960786
-0.76384765,-0.050754003,2.179614
-0.6999598,0.20982951,2.0798883
-0.7377122,0.40139788,2.1226501
-0.51162225,0.58689016,1.9685676
-1.3683871,-0.46967143,2.153726
-0.61200243,0.09462685,2.0869308
-0.3165352,0.29629022,2.1817703
0.56398433,0.9853508,1.4874784
0.112024814,-0.021751935,1.4224763
-0.08415446,0.9517973,0.030153815
0.18971244,0.91700727,0.12527162
0.1644341,1.6937801,1.0501121
-1.173881,0.563361,1.2770095
-0.90238315,1.547181,0.45156187
-1.4083902,0.6766092,1.224074
-0.8450565,0.56930727,1.7898229
-1.1282231,0.2283439,2.004475
-1.3085058,-0.045285396,2.1026835
-1.4503347,-0.17761058,2.2819192
-1.799793,-0.4974411,2.3562524
-1.6478609,-0.47441798,2.2179441
-0.78242534,0.54873353,1.494255
-0.62280744,0.12413854,1.6244818
-1.0677146,0.7965131,1.3681923
-1.2218345,-0.1721279,2.2558463
-1.3462267,-0.61585754,2.0344112
-0.28908852,-0.5299216,1.6656199
-0.12770924,-0.45524174,1.5158273
-1.0396957,-0.9023319,2.0639026
-0.6048606,-0.5232465,1.7151711
-0.59825075,-0.54115623,1.7549044
-0.42419198,-0.5350256,1.7632531
-0.7358314,0.05116529,1.3588493
-0.82778686,-0.4230389,1.8688811
-0.58150715,-0.4848342,1.8389721
-0.87114996,-0.33331925,1.9694906
-0.6663636,-0.5193648,1.6740762
0.14663759,0.30420712,0.35962194
0.2533013,0.4042021,0.39940804
0.34486517,0.46880907,0.34705132
0.043848727,0.41310763,0.460218
-0.08590129,0.09628061,0.4791054
-0.8431888,-0.1517432,1.0028156
-0.14223287,-0.0020908061,1.2277585
-0.26493785,-0.2912147,1.5257291
-0.42930338,-0.5685835,2.0366504
-0.44475576,-0.25030297,1.7430457
-0.7154748,0.17229086,2.1106527
-0.83445334,0.13693476,1.4681579
-0.43371442,0.3073594,0.3341933
0.19003502,0.9770468,1.7276555
-1.7312523,-0.29148299,2.1270027
-1.1282214,-0.69143873,2.3808594
-0.8591123,0.18132138,1.5158222
-0.93870956,-0.52708805,2.184329
-0.8595912,-0.44898725,1.8472828
-0.5018949,-0.12099569,1.8928269
-0.89035565,-0.14354545,2.0668674
0.3895329,1.8909106,-1.3712806
-1.5816034,-0.6929323,3.342887
0.22945097,1.3490856,-0.038934406
0.32832947,1.153284,-0.00083624944
0.25726262,0.9820662,0.12117475
-0.6522861,1.815151,0.54385763
0.29186764,1.4134308,0.3938958
